Sekolah_KabKota_Provinsi,Sekolah,lat,lng
SMAN 1 RENGAT,SMAN 1 RENGAT,-0.3695205,102.5239413
SMA N 2 SUMATERA BARAT,SMA N 2 SUMATERA BARAT,-0.4625385999999999,100.4270668
SMAN 2 PADANG PANJANG,SMAN 2 PADANG PANJANG,-0.46721,100.40226
SMAN 1 PADANG PANJANG,SMAN 1 PADANG PANJANG,-0.46721,100.40226
SMA Negeri 3 Samarinda,SMA Negeri 3 Samarinda,-0.48585,117.1466
SMAS SF Assisi Samarinda,SMAS SF Assisi Samarinda,-0.48585,117.1466
MAN 2 SAMARINDA,MAN 2 SAMARINDA,-0.48585,117.1466
SMA Negeri 1 Samarinda,SMA Negeri 1 Samarinda,-0.48585,117.1466
SMA Negeri 2 Samarinda,SMA Negeri 2 Samarinda,-0.48585,117.1466
SMA Negeri 10 Samarinda,SMA Negeri 10 Samarinda,-0.48585,117.1466
SMAN PINTAR,SMAN PINTAR,-0.5268657999999999,101.5582841
SMAN 1 SUMATERA BARAT,SMAN 1 SUMATERA BARAT,-0.5444061,100.0835527
SMAN 1 PARIAMAN,SMAN 1 PARIAMAN,-0.6189800000000001,100.11997
SMAN 1 SAWAHLUNTO,SMAN 1 SAWAHLUNTO,-0.67483,100.80715
SMAN 1 SOLOK,SMAN 1 SOLOK,-0.8006000000000001,100.6571
SMAS AVEROS,SMAS AVEROS,-0.86531,134.06118
MAN INSAN CENDEKIA KOTA PALU,MAN INSAN CENDEKIA KOTA PALU,-0.8917,119.8707
SMAS AL - AZHAR MANDIRI PALU,SMAS AL - AZHAR MANDIRI PALU,-0.8917,119.8707
SMAN MODEL TERPADU MADANI,SMAN MODEL TERPADU MADANI,-0.9166,122.3538
SMAN 10 PADANG,SMAN 10 PADANG,-0.94924,100.35427
SMAN 4 PADANG,SMAN 4 PADANG,-0.94924,100.35427
SMKN ANALIS KIMIA PADANG,SMKN ANALIS KIMIA PADANG,-0.94924,100.35427
SMAN 1 PADANG,SMAN 1 PADANG,-0.94924,100.35427
SMAN 7 PADANG,SMAN 7 PADANG,-0.94924,100.35427
SMAN 3 PADANG,SMAN 3 PADANG,-0.94924,100.35427
SMAN 2 PADANG,SMAN 2 PADANG,-0.94924,100.35427
MAS KMI DINIYAH PUTERI,MAS KMI DINIYAH PUTERI,-1.0,100.5
SMA NEGERI AGAM CENDEKIA,SMA NEGERI AGAM CENDEKIA,-1.0,100.5
SMAS DON BOSCO,SMAS DON BOSCO,-1.0,100.5
MAS PERGURUAN ISLAM AR RISALAH,MAS PERGURUAN ISLAM AR RISALAH,-1.0,100.5
SMA NEGERI 1 AMPEK ANGKEK,SMA NEGERI 1 AMPEK ANGKEK,-1.0,100.5
SMAN 3 BATU SANGKAR,SMAN 3 BATU SANGKAR,-1.0,100.5
SMAN 1 BATU SANGKAR,SMAN 1 BATU SANGKAR,-1.0,100.5
MAN INSAN CENDEKIA PADANG PARIAMAN,MAN INSAN CENDEKIA PADANG PARIAMAN,-1.0076,100.615
SMAN 2 BALIKPAPAN UTARA,SMAN 2 BALIKPAPAN UTARA,-1.1536,116.8843
SMAN 5 BALIKPAPAN SELATAN,SMAN 5 BALIKPAPAN SELATAN,-1.2457,116.895
SMAN 1 BALIKPAPAN ,SMAN 1 BALIKPAPAN ,-1.26753,116.82887
SMKN 1 BALIKPAPAN,SMKN 1 BALIKPAPAN,-1.26753,116.82887
SMAN 3 PAINAN,SMAN 3 PAINAN,-1.35172,100.57383
