Sekolah_KabKota_Provinsi,Sekolah,lat,lng
SMAS KRISTEN 7 BPK PENABUR JAKARTA,SMAS KRISTEN 7 BPK PENABUR JAKARTA,-6.21462,106.84513
SMKN 45 JAKARTA,SMKN 45 JAKARTA,-6.21462,106.84513
MAS PEMBANGUNAN UIN,MAS PEMBANGUNAN UIN,-6.21462,106.84513
SMAS HIGH SCOPE,SMAS HIGH SCOPE,-6.21462,106.84513
SMAS ISLAM AL-AZHAR 3 JAKARTA,SMAS ISLAM AL-AZHAR 3 JAKARTA,-6.21462,106.84513
SMAS AL IZHAR JAKARTA,SMAS AL IZHAR JAKARTA,-6.21462,106.84513
SMAS ISLAM PB SOEDIRMAN,SMAS ISLAM PB SOEDIRMAN,-6.21462,106.84513
SMAS INTERNATIONAL ISLAMIC HIGH SCHOOL (IIHS),SMAS INTERNATIONAL ISLAMIC HIGH SCHOOL (IIHS),-6.21462,106.84513
SMKN 8 JAKARTA,SMKN 8 JAKARTA,-6.21462,106.84513
SMAS KRISTEN IPEKA PURI INDAH,SMAS KRISTEN IPEKA PURI INDAH,-6.21462,106.84513
MAN 12 JAKARTA,MAN 12 JAKARTA,-6.21462,106.84513
SMAK TIRTAMARTA - BPK PENABUR,SMAK TIRTAMARTA - BPK PENABUR,-6.21462,106.84513
MAN 8 JAKARTA,MAN 8 JAKARTA,-6.21462,106.84513
SMAS 4 KRISTEN PENABUR,SMAS 4 KRISTEN PENABUR,-6.21462,106.84513
MAN 2 JAKARTA,MAN 2 JAKARTA,-6.21462,106.84513
SMAS BUNDA HATI KUDUS,SMAS BUNDA HATI KUDUS,-6.21462,106.84513
SMAS SANTA THERESIA JAKARTA,SMAS SANTA THERESIA JAKARTA,-6.21462,106.84513
SMAS K CALVIN,SMAS K CALVIN,-6.21462,106.84513
SMKN 25 JAKARTA,SMKN 25 JAKARTA,-6.21462,106.84513
SMAS SANTO YAKOBUS JAKARTA,SMAS SANTO YAKOBUS JAKARTA,-6.21462,106.84513
SMAS ISLAM AL-AZHAR 1 JAKARTA,SMAS ISLAM AL-AZHAR 1 JAKARTA,-6.21462,106.84513
MAN 9 JAKARTA,MAN 9 JAKARTA,-6.21462,106.84513
SMAS GONZAGA JAKARTA,SMAS GONZAGA JAKARTA,-6.21462,106.84513
SMAS DARUNNAJAH,SMAS DARUNNAJAH,-6.21462,106.84513
SMKN 62 JAKARTA,SMKN 62 JAKARTA,-6.21462,106.84513
SMAS KRISTEN YUSUF,SMAS KRISTEN YUSUF,-6.21462,106.84513
SMAS DIAN HARAPAN,SMAS DIAN HARAPAN,-6.21462,106.84513
SMAS KRISTEN 3 PENABUR JAKARTA,SMAS KRISTEN 3 PENABUR JAKARTA,-6.21462,106.84513
SMAS KRISTEN 5 BPK PENABUR,SMAS KRISTEN 5 BPK PENABUR,-6.21462,106.84513
SMAS KRISTEN 6 PENABUR,SMAS KRISTEN 6 PENABUR,-6.21462,106.84513
SMAS KANISIUS JAKARTA,SMAS KANISIUS JAKARTA,-6.21462,106.84513
SMAS LABSCHOOL JAKARTA,SMAS LABSCHOOL JAKARTA,-6.21462,106.84513
SMAS 1 KRISTEN BPK PENABUR,SMAS 1 KRISTEN BPK PENABUR,-6.21462,106.84513
SMAS KATOLIK SANG TIMUR,SMAS KATOLIK SANG TIMUR,-6.21462,106.84513
SMKN 51 JAKARTA,SMKN 51 JAKARTA,-6.21462,106.84513
SMAS SANTA URSULA,SMAS SANTA URSULA,-6.21462,106.84513
SMAS REGINA PACIS,SMAS REGINA PACIS,-6.21462,106.84513
SMAN 85 JAKARTA,SMAN 85 JAKARTA,-6.2150826,106.7598331
MAN 10 JAKARTA,MAN 10 JAKARTA,-6.2168184,106.7210268
SMKN 48 JAKARTA,SMKN 48 JAKARTA,-6.2193627,106.9235958
SMAN 3 TANGERANG,SMAN 3 TANGERANG,-6.2246483,106.7034693
SMAN 100 JAKARTA,SMAN 100 JAKARTA,-6.2284083,106.8849278
SMA KRISTEN PENABUR SUMMARECON BEKASI,SMA KRISTEN PENABUR SUMMARECON BEKASI,-6.2349,106.9896
MAN 1 KOTA BEKASI,MAN 1 KOTA BEKASI,-6.2349,106.9896
SMAN 61 JAKARTA,SMAN 61 JAKARTA,-6.2369163,106.898287
SMAN 18 BEKASI,SMAN 18 BEKASI,-6.2377605,107.0360493
SMAN 62 JAKARTA,SMAN 62 JAKARTA,-6.2418004,106.9112396
SMAN 1 JAKARTA,SMAN 1 JAKARTA,-6.2418004,106.9112396
SMAN 107 JAKARTA,SMAN 107 JAKARTA,-6.2418004,106.9112396
SMAN 66 JAKARTA,SMAN 66 JAKARTA,-6.2418004,106.9112396
SMAN 33 JAKARTA,SMAN 33 JAKARTA,-6.2418004,106.9112396
SMAN 19 JAKARTA,SMAN 19 JAKARTA,-6.2418004,106.9112396
SMAN 46 JAKARTA,SMAN 46 JAKARTA,-6.2418004,106.9112396
SMAN 6 JAKARTA,SMAN 6 JAKARTA,-6.2418004,106.9112396
SMAN 71 JAKARTA,SMAN 71 JAKARTA,-6.2418004,106.9112396
SMAN 96 JAKARTA,SMAN 96 JAKARTA,-6.2418004,106.9112396
SMAN 106 JAKARTA,SMAN 106 JAKARTA,-6.2418004,106.9112396
SMAN 91 JAKARTA,SMAN 91 JAKARTA,-6.2418004,106.9112396
SMAN 64 JAKARTA,SMAN 64 JAKARTA,-6.2418004,106.9112396
SMAN 16 JAKARTA,SMAN 16 JAKARTA,-6.2418004,106.9112396
SMAN 26 JAKARTA,SMAN 26 JAKARTA,-6.2418004,106.9112396
SMKN 6 JAKARTA,SMKN 6 JAKARTA,-6.2432145,106.8077974
SMA LABSCHOOL KEBAYORAN,SMA LABSCHOOL KEBAYORAN,-6.2451818,106.7913388
SMA GARUDA CENDEKIA,SMA GARUDA CENDEKIA,-6.2471384,106.8125895
SMAN 1 TANGERANG,SMAN 1 TANGERANG,-6.2498361,106.7088196
SMAN 8 TANGERANG,SMAN 8 TANGERANG,-6.2498361,106.7088196
SMAN 11 TANGERANG,SMAN 11 TANGERANG,-6.2498361,106.7088196
SMAN 15 TANGERANG,SMAN 15 TANGERANG,-6.2498361,106.7088196
SMAN 5 TANGERANG,SMAN 5 TANGERANG,-6.2498361,106.7088196
SMAN 12 TANGERANG,SMAN 12 TANGERANG,-6.2498361,106.7088196
SMKN 3 KOTA BEKASI,SMKN 3 KOTA BEKASI,-6.2515235,107.1280215
SMAN 108 JAKARTA,SMAN 108 JAKARTA,-6.2526134,106.7621152
SMAN 55 JAKARTA,SMAN 55 JAKARTA,-6.2534821,106.8386539
SMAN 2 BEKASI,SMAN 2 BEKASI,-6.2554669,107.1149754
SMAN 7 KOTA TANGERANG SELATAN,SMAN 7 KOTA TANGERANG SELATAN,-6.2565316,106.6614935
SMAN 3 BEKASI,SMAN 3 BEKASI,-6.2654472,107.1865029
SMKN 1 KOTA BEKASI,SMKN 1 KOTA BEKASI,-6.2655555,107.1358237
SMAS PRAMITA CURUG,SMAS PRAMITA CURUG,-6.26583,106.55639
SMAN 5 TAMBUN SELATAN,SMAN 5 TAMBUN SELATAN,-6.2673062,107.0186634
SMAN 2 TAMBUN SELATAN,SMAN 2 TAMBUN SELATAN,-6.2673062,107.0186634
SMAN 1 TAMBUN SELATAN,SMAN 1 TAMBUN SELATAN,-6.2673062,107.0186634
SMAN 13 BEKASI,SMAN 13 BEKASI,-6.2681124,107.0049966
SMAN 67 JAKARTA,SMAN 67 JAKARTA,-6.2762325,106.8866325
SMAN 51 JAKARTA,SMAN 51 JAKARTA,-6.276921,106.86075
SMAN 6 BEKASI,SMAN 6 BEKASI,-6.2809837,106.9736697
MAN 4 JAKARTA,MAN 4 JAKARTA,-6.2820586,106.7705595
SMKN 10 JAKARTA,SMKN 10 JAKARTA,-6.283544,106.794151
SMKN 20 JAKARTA,SMKN 20 JAKARTA,-6.283564,106.793838
SMAN 28 JAKARTA,SMAN 28 JAKARTA,-6.2860703,106.8331957
SMA ISLAM TERPADU AULIYA,SMA ISLAM TERPADU AULIYA,-6.2904498,106.7040209
SMAN 1 KOTA TANGERANG SELATAN,SMAN 1 KOTA TANGERANG SELATAN,-6.29373,106.71244
MAN 1 KOTA TANGERANG SELATAN,MAN 1 KOTA TANGERANG SELATAN,-6.29373,106.71244
SMAN 4 KOTA TANGERANG SELATAN,SMAN 4 KOTA TANGERANG SELATAN,-6.29373,106.71244
SMAN 9 BEKASI,SMAN 9 BEKASI,-6.2948468,107.0305638
SMA CHARITAS,SMA CHARITAS,-6.2971148,106.7712806
SMAN 1 KARAWANG,SMAN 1 KARAWANG,-6.3003313,107.3019493
SMAN 104 JAKARTA,SMAN 104 JAKARTA,-6.3024886,106.8592896
MAN 11 JAKARTA,MAN 11 JAKARTA,-6.3056759,106.7864543
SMAN 56 JAKARTA,SMAN 56 JAKARTA,-6.3061977,106.8037544
SMA INSAN RABBANY,SMA INSAN RABBANY,-6.3088268,106.6850952
SMAN 16 BEKASI,SMAN 16 BEKASI,-6.3107318,106.9317009
SMK NEGERI 41 JAKARTA,SMK NEGERI 41 JAKARTA,-6.3144493,106.8021244
SMAN 11 BEKASI,SMAN 11 BEKASI,-6.3158162,107.1653445
SMAN 1 CIKARANG PUSAT,SMAN 1 CIKARANG PUSAT,-6.3158162,107.1653445
SMAN 1 BEKASI,SMAN 1 BEKASI,-6.3158162,107.1653445
SMAN 7 BEKASI,SMAN 7 BEKASI,-6.3158162,107.1653445
SMAN 5 BEKASI,SMAN 5 BEKASI,-6.3158162,107.1653445
SMAN UNGGULAN M.H. THAMRIN,SMAN UNGGULAN M.H. THAMRIN,-6.315977382935702,106.9012753188935
SMA Islam Al Azhar 19,SMA Islam Al Azhar 19,-6.3198366,106.8772608
SMAN 49 JAKARTA,SMAN 49 JAKARTA,-6.3247614,106.8198821
MAN INSAN CENDEKIA SERPONG,MAN INSAN CENDEKIA SERPONG,-6.3258189,106.6810286
SMAN 2 TANGERANG,SMAN 2 TANGERANG,-6.3274875,106.7108122
SMAN 3 KOTA TANGERANG SELATAN,SMAN 3 KOTA TANGERANG SELATAN,-6.3274875,106.7108122
SMAN 2 KOTA TANGERANG SELATAN,SMAN 2 KOTA TANGERANG SELATAN,-6.3274875,106.7108122
SMAN 93 JAKARTA,SMAN 93 JAKARTA,-6.32813,106.8774651
SMAN 103 JAKARTA,SMAN 103 JAKARTA,-6.32813,106.8774651
SMAN 39 JAKARTA,SMAN 39 JAKARTA,-6.32813,106.8774651
SMAN 14 JAKARTA,SMAN 14 JAKARTA,-6.32813,106.8774651
SMAN 34 JAKARTA,SMAN 34 JAKARTA,-6.32813,106.8774651
SMAN 23 JAKARTA,SMAN 23 JAKARTA,-6.32813,106.8774651
SMAN 86 JAKARTA,SMAN 86 JAKARTA,-6.32813,106.8774651
SMAN 88 JAKARTA,SMAN 88 JAKARTA,-6.32813,106.8774651
SMAN 3 JAKARTA,SMAN 3 JAKARTA,-6.32813,106.8774651
SMAN 30 JAKARTA,SMAN 30 JAKARTA,-6.32813,106.8774651
SMAN 13 JAKARTA,SMAN 13 JAKARTA,-6.32813,106.8774651
SMAN 63 JAKARTA,SMAN 63 JAKARTA,-6.32813,106.8774651
SMAN 98 JAKARTA,SMAN 98 JAKARTA,-6.32813,106.8774651
SMAN 80 JAKARTA,SMAN 80 JAKARTA,-6.32813,106.8774651
SMAN 81 JAKARTA,SMAN 81 JAKARTA,-6.32813,106.8774651
SMAN 31 JAKARTA,SMAN 31 JAKARTA,-6.32813,106.8774651
SMAN 48 JAKARTA,SMAN 48 JAKARTA,-6.32813,106.8774651
SMAN 89 JAKARTA,SMAN 89 JAKARTA,-6.32813,106.8774651
SMAN 58 JAKARTA,SMAN 58 JAKARTA,-6.32813,106.8774651
SMAN 43 JAKARTA,SMAN 43 JAKARTA,-6.32813,106.8774651
SMAN 8 JAKARTA,SMAN 8 JAKARTA,-6.32813,106.8774651
SMAN 68 JAKARTA,SMAN 68 JAKARTA,-6.32813,106.8774651
SMAN 36 JAKARTA,SMAN 36 JAKARTA,-6.32813,106.8774651
SMAN 82 JAKARTA,SMAN 82 JAKARTA,-6.32813,106.8774651
SMAN 32 JAKARTA,SMAN 32 JAKARTA,-6.32813,106.8774651
SMAS AVICENA CINERE,SMAS AVICENA CINERE,-6.3314,106.7837
SMAN 1 CIKARANG SELATAN,SMAN 1 CIKARANG SELATAN,-6.334118,107.1191429
SMAN 38 JAKARTA,SMAN 38 JAKARTA,-6.3361189,106.8358042
SMAN 28 KABUPATEN TANGERANG,SMAN 28 KABUPATEN TANGERANG,-6.3365402,106.6365119
SMAN 6 KOTA TANGERANG SELATAN,SMAN 6 KOTA TANGERANG SELATAN,-6.3371507,106.7338834
SMAN 109 JAKARTA,SMAN 109 JAKARTA,-6.3447979,106.8335245
SMA NEGERI 10 DEPOK,SMA NEGERI 10 DEPOK,-6.3458023,106.8354825
MAN 7 JAKARTA,MAN 7 JAKARTA,-6.3543679,106.8192015
SMAN 1 RANGKASBITUNG,SMAN 1 RANGKASBITUNG,-6.3576549,106.249049
SMAN 5,SMAN 5,-6.3578844,106.2477649
SMAN 2 GUNUNG PUTRI,SMAN 2 GUNUNG PUTRI,-6.3642001,106.9572411
SMAN 6 KOTA DEPOK,SMAN 6 KOTA DEPOK,-6.370144,106.7731462
SMAS PRIBADI BEJI,SMAS PRIBADI BEJI,-6.38417,106.81139
SMAN 2 KOTA DEPOK,SMAN 2 KOTA DEPOK,-6.3942096,106.8494215
SMAN 1 CILEUNGSI,SMAN 1 CILEUNGSI,-6.394386,106.9561616
SMAN 1 KOTA DEPOK,SMAN 1 KOTA DEPOK,-6.3944214,106.8824291
SMAN 4 KOTA DEPOK,SMAN 4 KOTA DEPOK,-6.3944214,106.8824291
SMAN 7 KOTA DEPOK,SMAN 7 KOTA DEPOK,-6.3970838,106.9102964
SMAS SEJAHTERA 1 DEPOK,SMAS SEJAHTERA 1 DEPOK,-6.4,106.81861
SMAN 8 DEPOK,SMAN 8 DEPOK,-6.4,106.81861
SMAN 12 KOTA DEPOK,SMAN 12 KOTA DEPOK,-6.4,106.81861
SMAS BINTARA DEPOK,SMAS BINTARA DEPOK,-6.4,106.81861
SMAN 9 DEPOK,SMAN 9 DEPOK,-6.4,106.81861
SMA MUHAMMADIYAH 04 DEPOK,SMA MUHAMMADIYAH 04 DEPOK,-6.4,106.81861
SMAN 5 KOTA DEPOK,SMAN 5 KOTA DEPOK,-6.4,106.81861
SMAN 3 KOTA DEPOK,SMAN 3 KOTA DEPOK,-6.4078502,106.8411845
SMAN 1 PARUNG,SMAN 1 PARUNG,-6.42139,106.73306
SMAN 11 Kota Depok,SMAN 11 Kota Depok,-6.4220276,106.8367057
SMAN 1 BOGOR,SMAN 1 BOGOR,-6.4771981,106.7572133
SMAN 5 BOGOR,SMAN 5 BOGOR,-6.4771981,106.7572133
SMAN 8 BOGOR,SMAN 8 BOGOR,-6.4771981,106.7572133
SMAN 4 BOGOR,SMAN 4 BOGOR,-6.4771981,106.7572133
SMAN 10 BOGOR,SMAN 10 BOGOR,-6.4771981,106.7572133
SMAN 1 TAJURHALANG,SMAN 1 TAJURHALANG,-6.4771981,106.7572133
SMAN 6 BOGOR,SMAN 6 BOGOR,-6.4771981,106.7572133
SMAN 3 BOGOR,SMAN 3 BOGOR,-6.4771981,106.7572133
SMAN 1 CIBINONG,SMAN 1 CIBINONG,-6.48167,106.85417
SMAN 4 CIBINONG,SMAN 4 CIBINONG,-6.48167,106.85417
SMAN 3 CIBINONG,SMAN 3 CIBINONG,-6.48167,106.85417
SMAS PGRI CIBINONG,SMAS PGRI CIBINONG,-6.48167,106.85417
SMAS KETAPANG 3,SMAS KETAPANG 3,-6.4833300000000005,108.5
SMA NEGERI 1 BATANG,SMA NEGERI 1 BATANG,-6.4846,110.7083
SMAS TARAKANITA GADING SERPONG,SMAS TARAKANITA GADING SERPONG,-6.5,106.25
SMA AL ADZKAR,SMA AL ADZKAR,-6.5,106.25
SMAS PAHOA,SMAS PAHOA,-6.5,106.25
SMAS ATHALIA,SMAS ATHALIA,-6.5,106.25
SMAS BUDI LUHUR,SMAS BUDI LUHUR,-6.5,106.25
SMAS SANTA URSULA BSD,SMAS SANTA URSULA BSD,-6.5,106.25
SMAS YUPPENTEK 1,SMAS YUPPENTEK 1,-6.5,106.25
SMAS ASY SYUKRIYAH,SMAS ASY SYUKRIYAH,-6.5,106.25
SMAS STELLA MARIS BSD,SMAS STELLA MARIS BSD,-6.5,106.25
SMAS KHARISMA BANGSA,SMAS KHARISMA BANGSA,-6.5,106.25
SMA BINA NUSANTARA SERPONG,SMA BINA NUSANTARA SERPONG,-6.5,106.25
SMAS ISLAM AL-AZHAR BSD,SMAS ISLAM AL-AZHAR BSD,-6.5,106.25
SMAS KRISTEN BPK PENABUR GADING SERPONG,SMAS KRISTEN BPK PENABUR GADING SERPONG,-6.5,106.25
SMAS MENTARI INTERCULTURAL SCHOOL BINTARO,SMAS MENTARI INTERCULTURAL SCHOOL BINTARO,-6.5,106.25
SMAS PLUS PEMBANGUNAN JAYA,SMAS PLUS PEMBANGUNAN JAYA,-6.5,106.25
SMAS UPH COLEGE,SMAS UPH COLEGE,-6.5,106.25
SMAS TARAKANITA CITRA RAYA,SMAS TARAKANITA CITRA RAYA,-6.5,106.25
SMA ISLAM SINAR CENDEKIA,SMA ISLAM SINAR CENDEKIA,-6.5,106.25
SMA IT PUTRI AL HANIF,SMA IT PUTRI AL HANIF,-6.5,106.25
SMA GLOBAL ISLAMIC SCHOOL 2,SMA GLOBAL ISLAMIC SCHOOL 2,-6.5,106.25
SMAS STRADA ST AQUINO,SMAS STRADA ST AQUINO,-6.5,106.25
SMAS SANTA LAURENSIA,SMAS SANTA LAURENSIA,-6.5,106.25
SMAS DAAR EL QOLAM,SMAS DAAR EL QOLAM,-6.5,106.25
PKBM KAK SETO,PKBM KAK SETO,-6.5,106.25
SMAS KATOLIK RICCI II,SMAS KATOLIK RICCI II,-6.5,106.25
SMAS KATOLIK MATER DEI,SMAS KATOLIK MATER DEI,-6.5,106.25
SMA ISLAM NURUL FIKRI,SMA ISLAM NURUL FIKRI,-6.5,106.25
SMAS IT RAUDHATUL JANNAH ,SMAS IT RAUDHATUL JANNAH ,-6.5,106.25
SMAS K ORA ET LABORA BSD,SMAS K ORA ET LABORA BSD,-6.5,106.25
SMAS PENABUR BINTARO,SMAS PENABUR BINTARO,-6.5,106.25
SMA AL WILDAN ISLAMIC SCHOOL,SMA AL WILDAN ISLAMIC SCHOOL,-6.5,106.25
SMAS UPH COLLEGE,SMAS UPH COLLEGE,-6.5,106.25
SMAS MUTIARA BANGSA,SMAS MUTIARA BANGSA,-6.5,106.25
SMAN CMBBS,SMAN CMBBS,-6.5,106.25
SMAS ISLAMIC VILLAGE,SMAS ISLAMIC VILLAGE,-6.5,106.25
SMAS INSAN CENDEKIA MADANI,SMAS INSAN CENDEKIA MADANI,-6.5,106.25
SMAN 2 BOGOR,SMAN 2 BOGOR,-6.5229981,106.8075912
SMAN 2 CIBINONG,SMAN 2 CIBINONG,-6.5229981,106.8075912
SMA NEGERI 1 TAYU,SMA NEGERI 1 TAYU,-6.5397,111.0518
SMAN 1 SUBANG,SMAN 1 SUBANG,-6.555362976073423,107.75167932209054
SMAN 1 PURWAKARTA,SMAN 1 PURWAKARTA,-6.55694,107.44333
SMAN 1 LEUWILIANG,SMAN 1 LEUWILIANG,-6.57583,106.63694
SMA PUTRA BANGSA,SMA PUTRA BANGSA,-6.58944,108.29778
SMAS PELITA BANGSA,SMAS PELITA BANGSA,-6.58944,108.29778
SMKN 1 BOGOR,SMKN 1 BOGOR,-6.5905153,106.6280676
SMA NEGERI 1 JEPARA,SMA NEGERI 1 JEPARA,-6.5924,110.671
MAN 1 JEPARA,MAN 1 JEPARA,-6.5924,110.671
SMK NEGERI 3 JEPARA,SMK NEGERI 3 JEPARA,-6.5924,110.671
SMAN 9 BOGOR,SMAN 9 BOGOR,-6.592709,106.7884377
SMAN 1 CIAWI BOGOR,SMAN 1 CIAWI BOGOR,-6.5944400000000005,106.78917
SMK-SMAK BOGOR,SMK-SMAK BOGOR,-6.5944400000000005,106.78917
MAN 2 KOTA BOGOR,MAN 2 KOTA BOGOR,-6.5944400000000005,106.78917
SMAS IT AS-SYIFA BOARDING SCHOOL,SMAS IT AS-SYIFA BOARDING SCHOOL,-6.6566832035455965,107.72046862710368
SMAN 1 CISARUA,SMAN 1 CISARUA,-6.66432,106.93671
SMA NEGERI 1 LASEM,SMA NEGERI 1 LASEM,-6.6922,111.4527
SMA NEGERI 1 PECANGAAN,SMA NEGERI 1 PECANGAAN,-6.6978,110.7107
SMA ISLAM AL AZHAR 22,SMA ISLAM AL AZHAR 22,-6.6988381,108.543545
SMA ISLAM AL-AZHAR 8,SMA ISLAM AL-AZHAR 8,-6.6988381,108.543545
SMAN 1 CIBADAK,SMAN 1 CIBADAK,-6.7012267,107.0528886
SMK NEGERI 1 REMBANG,SMK NEGERI 1 REMBANG,-6.7036,111.3416
SMAN 1 REMBANG,SMAN 1 REMBANG,-6.7036,111.3416
SMA NEGERI 1 REMBANG,SMA NEGERI 1 REMBANG,-6.7036,111.3416
SMAN 1 CIKARANG UTARA,SMAN 1 CIKARANG UTARA,-6.7044,108.5222
SMA KRISTEN PENABUR CIREBON,SMA KRISTEN PENABUR CIREBON,-6.7063,108.557
SMAN 6 CIREBON,SMAN 6 CIREBON,-6.7103526,108.5516523
SMAN 1 CIREBON,SMAN 1 CIREBON,-6.7110453,108.5512671
SMAN 2 CIREBON,SMAN 2 CIREBON,-6.7147456,108.5500779
SMA NEGERI 1 JUWANA,SMA NEGERI 1 JUWANA,-6.715,111.1514
SMAN 1 GEBOG,SMAN 1 GEBOG,-6.735,110.8444
SMAS PLUS MUTHAHHARI,SMAS PLUS MUTHAHHARI,-6.75,107.5
SMA AL MINHAJ,SMA AL MINHAJ,-6.75,107.5
SMAS DARUL HIKAM INTERNASIONAL,SMAS DARUL HIKAM INTERNASIONAL,-6.75,107.5
SMA IT ADZKIA,SMA IT ADZKIA,-6.75,107.5
SMAS MUTIARA BUNDA,SMAS MUTIARA BUNDA,-6.75,107.5
SMAS PESAT,SMAS PESAT,-6.75,107.5
SMAS IT AL FIDAA,SMAS IT AL FIDAA,-6.75,107.5
SMAS NASIONAL 1,SMAS NASIONAL 1,-6.75,107.5
SMAS ADVENT,SMAS ADVENT,-6.75,107.5
SMAS MARDI YUANA,SMAS MARDI YUANA,-6.75,107.5
SMAS BINA INSANI,SMAS BINA INSANI,-6.75,107.5
SMAS YPHB,SMAS YPHB,-6.75,107.5
SMA IIBS,SMA IIBS,-6.75,107.5
SMAS YAHYA,SMAS YAHYA,-6.75,107.5
SMAS ANANDA,SMAS ANANDA,-6.75,107.5
SMAS SMART EKSELENSIA INDONESIA,SMAS SMART EKSELENSIA INDONESIA,-6.75,107.5
MAS HUSNUL KHOTIMAH,MAS HUSNUL KHOTIMAH,-6.75,107.5
SMAS ISLAM PANGLIMA BESAR SOEDIRMAN,SMAS ISLAM PANGLIMA BESAR SOEDIRMAN,-6.75,107.5
SMAS ALLOYSIUS 2,SMAS ALLOYSIUS 2,-6.75,107.5
SMAS MARSUDIRINI,SMAS MARSUDIRINI,-6.75,107.5
SMAS DON BOSCO III,SMAS DON BOSCO III,-6.75,107.5
SMAS ISLAM DIAN DIDAKTIKA,SMAS ISLAM DIAN DIDAKTIKA,-6.75,107.5
SMAS GLOBAL PRESTASI,SMAS GLOBAL PRESTASI,-6.75,107.5
SMAS ISLAM AL-AZHAR 4,SMAS ISLAM AL-AZHAR 4,-6.75,107.5
SMAS IT THORIQ BIN ZIYAD,SMAS IT THORIQ BIN ZIYAD,-6.75,107.5
SMA SULTHON AULIA BOARDING SCHOOL,SMA SULTHON AULIA BOARDING SCHOOL,-6.75,107.5
SMA AL MUTTAQIN,SMA AL MUTTAQIN,-6.75,107.5
SMA IT AT TAUFIQ,SMA IT AT TAUFIQ,-6.75,107.5
SMAS BUNDA HATI KUDUS,SMAS BUNDA HATI KUDUS,-6.75,107.5
SMAS DWI WARNA,SMAS DWI WARNA,-6.75,107.5
SMAS REGINA PACIS,SMAS REGINA PACIS,-6.75,107.5
SMAS INSAN CENDEKIA  AL KAUSAR,SMAS INSAN CENDEKIA  AL KAUSAR,-6.75,107.5
SMAS IT NURURRAHMAN,SMAS IT NURURRAHMAN,-6.75,107.5
SMAS PESANTREN TERPADU HAYATAN THAYYIBAH,SMAS PESANTREN TERPADU HAYATAN THAYYIBAH,-6.75,107.5
SMAS PANGUDI LUHUR II,SMAS PANGUDI LUHUR II,-6.75,107.5
SMA DAARUT TAUHIID BOARDING SCHOOL,SMA DAARUT TAUHIID BOARDING SCHOOL,-6.75,107.5
SMAS MADANIA,SMAS MADANIA,-6.75,107.5
SMAS INSAN KAMIL,SMAS INSAN KAMIL,-6.75,107.5
SMAS PRIBADI,SMAS PRIBADI,-6.75,107.5
SMAS KESATUAN,SMAS KESATUAN,-6.75,107.5
SMAS ST ANGELA,SMAS ST ANGELA,-6.75,107.5
SMAS FUTURE GATE,SMAS FUTURE GATE,-6.75,107.5
SMAS BUDI MULIA,SMAS BUDI MULIA,-6.75,107.5
SMAS ISLAM TERPADU NURUL FIKRI,SMAS ISLAM TERPADU NURUL FIKRI,-6.75,107.5
SMA KRISTEN PENABUR KOTA JABABEKA,SMA KRISTEN PENABUR KOTA JABABEKA,-6.75,107.5
SMAS MARDI YUANA PANCORAN MAS,SMAS MARDI YUANA PANCORAN MAS,-6.75,107.5
SMAS BPK 2 PENABUR,SMAS BPK 2 PENABUR,-6.75,107.5
SMA REGINA CAELI,SMA REGINA CAELI,-6.75,107.5
MAS NUURUL QUR AN,MAS NUURUL QUR AN,-6.75,107.5
SMAS PRESIDEN (BOARDING SCHOOL),SMAS PRESIDEN (BOARDING SCHOOL),-6.75,107.5
SMAS BPK PENABUR,SMAS BPK PENABUR,-6.75,107.5
SMAS BINA BHAKTI 1,SMAS BINA BHAKTI 1,-6.75,107.5
SMA TALENTA,SMA TALENTA,-6.75,107.5
SMAS ISLAM HASMI,SMAS ISLAM HASMI,-6.75,107.5
SMAS TARUNA BAKTI,SMAS TARUNA BAKTI,-6.75,107.5
SMAS ALFA CENTAURI,SMAS ALFA CENTAURI,-6.75,107.5
SMA IT FITHRAH INSANI,SMA IT FITHRAH INSANI,-6.75,107.5
SMA ISLAM AL-FAJAR,SMA ISLAM AL-FAJAR,-6.75,107.5
MAS ZAKARIA,MAS ZAKARIA,-6.75,107.5
SMA BUDI CENDEKIA ISLAMIC SCHOOL ,SMA BUDI CENDEKIA ISLAMIC SCHOOL ,-6.75,107.5
SMA KRISTEN PENABUR KOTA WISATA,SMA KRISTEN PENABUR KOTA WISATA,-6.75,107.5
SMAS AL-IRSYAD SATYA ,SMAS AL-IRSYAD SATYA ,-6.75,107.5
SMAS GLOBAL MANDIRI,SMAS GLOBAL MANDIRI,-6.75,107.5
SMAS YASPEN TUGU IBU,SMAS YASPEN TUGU IBU,-6.75,107.5
SMAS YOS SUDARSO,SMAS YOS SUDARSO,-6.75,107.5
SMAS IT UMMUL QURO,SMAS IT UMMUL QURO,-6.75,107.5
MAS DARUL MARHAMAH,MAS DARUL MARHAMAH,-6.75,107.5
SMAS ALLOYSIUS 1,SMAS ALLOYSIUS 1,-6.75,107.5
SMAS AL - MUSLIM,SMAS AL - MUSLIM,-6.75,107.5
SMAS PESANTREN UNGGUL AL BAYAN,SMAS PESANTREN UNGGUL AL BAYAN,-6.75,107.5
SMAS LABORATORIUM - PERCONTOHAN UPI,SMAS LABORATORIUM - PERCONTOHAN UPI,-6.75,107.5
SMAS LABSCHOOL CIBUBUR,SMAS LABSCHOOL CIBUBUR,-6.75,107.5
